,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.0246415770609319,0.0246415770609319,0.034103008936665895,0.034103008936665895,0.035171517702318966,0.035171517702318966
1,1-2,0.06093189964157706,0.08557347670250896,0.05873424926563822,0.09283725820230412,0.05608864488699096,0.09126016258930993
2,2-3,0.08243727598566308,0.16801075268817206,0.07702450986746398,0.1698617680697681,0.07321025018547347,0.16447041277478341
3,3-4,0.09162186379928315,0.2596326164874552,0.08907185714078528,0.2589336252105534,0.08562393215985678,0.2500943449346402
4,4-5,0.06541218637992832,0.3250448028673836,0.09515672347897415,0.35409034868952755,0.09291603529786391,0.34301038023250413
5,5-6,0.058915770609319,0.3839605734767026,0.09591009664846552,0.45000044533799305,0.09517290456207093,0.4381832847945751
6,6-7,0.05017921146953405,0.4341397849462366,0.09225216450167438,0.5422526098396674,0.09291544580123097,0.531098730595806
7,7-8,0.06406810035842293,0.49820788530465954,0.08527038031398051,0.6275229901536479,0.08698448447895381,0.6180832150747598
8,8-9,0.07056451612903226,0.5687724014336918,0.0760891835785206,0.7036121737321684,0.0784008562801788,0.6964840713549386
9,9-10,0.08445340501792115,0.653225806451613,0.06575760703678225,0.7693697807689507,0.06822511239850197,0.7647091837534405
10,10-11,0.08198924731182795,0.735215053763441,0.055168275841466545,0.8245380566104172,0.05743775434066118,0.8221469380941018
11,11-12,0.09251792114695341,0.8277329749103944,0.04501211252930004,0.8695501691397173,0.046853659842461134,0.8690005979365629
12,12-13,0.07571684587813621,0.9034498207885306,0.03576623854782636,0.9053164076875436,0.037075931657293185,0.9060765295938561
13,13-14,0.0456989247311828,0.9491487455197134,0.027708182017866585,0.9330245897054102,0.0284867697050583,0.9345632992989144
14,14-15,0.026657706093189962,0.9758064516129034,0.02094751055174501,0.9539721002571553,0.021267517014160887,0.9558308163130752
15,15-16,0.01568100358422939,0.9914874551971328,0.015466026364699592,0.9694381266218549,0.01543734420192443,0.9712681605149996
16,16-17,0.005152329749103943,0.9966397849462367,0.011159076939418243,0.9805972035612731,0.010899948069037142,0.9821681085840368
17,17-18,0.0020161290322580645,0.9986559139784948,0.007872673480683132,0.9884698770419562,0.007489458812692353,0.9896575673967292
18,18-19,0.0006720430107526882,0.9993279569892476,0.005433379239043897,0.9939032562810001,0.00500957131198525,0.9946671387087144
19,19-20,0.00044802867383512545,0.9997759856630827,0.0036699083102138402,0.9975731645912139,0.0032628884927043003,0.9979300272014187
20,20-21,0.00022401433691756272,1.0000000000000002,0.0024268354087861026,1.0,0.0020699727985808505,0.9999999999999996
