,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.014043848014355934,0.014043848014355934,0.008289228775691692,0.008289228775691692,0.019641143813548444,0.019641143813548444
1,1-2,0.023094327845829758,0.037138175860185696,0.020784431610348743,0.029073660386040437,0.03531276102772385,0.05495390484127229
2,2-3,0.04611063431380198,0.08324881017398768,0.034880378285469436,0.06395403867150987,0.049298550536977445,0.10425245537824973
3,3-4,0.05079191698525396,0.13404072715924165,0.04914562692099913,0.113099665592509,0.061001339182743114,0.16525379456099284
4,4-5,0.054614964500273075,0.18865569165951473,0.062351699782656735,0.17545136537516573,0.06999902031865755,0.23525281487965038
5,5-6,0.04127330888663494,0.22992900054614968,0.07343684025434158,0.2488882056295073,0.07606756198808931,0.3113203768677397
6,6-7,0.03932277444019661,0.2692517749863463,0.08156999951293738,0.33045820514244467,0.07918390867368531,0.390504285541425
7,7-8,0.04135133026449247,0.31060310525083873,0.08622256814254908,0.41668077328499376,0.07950993860843737,0.4700142241498624
8,8-9,0.053288601076695016,0.36389170632753376,0.08721377491570619,0.5038945482006999,0.07736088357173854,0.5473751077216009
9,9-10,0.06967309042677694,0.4335647967543107,0.08471380369724991,0.5886083518979498,0.07316319484660597,0.6205383025682069
10,10-11,0.08917843489116017,0.5227432316454709,0.07920104255494818,0.667809394452898,0.06740757127688639,0.6879458738450932
11,11-12,0.09932121401263946,0.6220644456581104,0.0713804515239924,0.7391898459768904,0.06060273547016641,0.7485486093152596
12,12-13,0.09768276507763127,0.7197472107357417,0.06207800956400602,0.8012678555408964,0.05323467888752394,0.8017832882027836
13,13-14,0.08746196457829446,0.8072091753140361,0.05213022386189008,0.8533980794027864,0.0457347263987421,0.8475180146015256
14,14-15,0.07848950612467816,0.8856986814387143,0.04228714563981284,0.8956852250425993,0.038458174951671975,0.8859761895531977
15,15-16,0.0551611141452758,0.9408597955839901,0.033142771441417807,0.9288279964840171,0.03167371040068647,0.9176498999538841
16,16-17,0.031676679410158386,0.9725364749941485,0.025099653460002706,0.9539276499440199,0.025562518311136394,0.9432124182650206
17,17-18,0.01599438246079426,0.9885308574549427,0.018367024324261915,0.9722946742682819,0.020225113755842652,0.9634375320208632
18,18-19,0.0074900522743231645,0.9960209097292659,0.012985640634372542,0.9852803149026544,0.015693467332128123,0.9791309993529914
19,19-20,0.0031208551143013185,0.9991417648435672,0.008869072816772154,0.9941493877194266,0.011945966556059432,0.9910769659090508
20,20-21,0.0008582351564328626,1.0,0.005850612280573516,1.0000000000000002,0.008923034090949132,0.9999999999999999
