,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.021072846483117153,0.021072846483117153,0.023523514533475072,0.023523514533475072,0.027816662549576206,0.027816662549576206
1,1-2,0.050092464469072895,0.07116531095219004,0.043577262185938506,0.06710077671941359,0.04532187284717018,0.07313853539674639
2,2-3,0.06969751833124264,0.1408628292834327,0.060308489493089014,0.1274092662125026,0.06030907531187599,0.13344761070862238
3,3-4,0.06952293506795815,0.21038576435139084,0.07318205194942559,0.20059131816192818,0.07207742906818457,0.20552503977680694
4,4-5,0.058912152288333956,0.2692979166397248,0.08188783421139909,0.28247915237332727,0.08020996013701294,0.2857349999138199
5,5-6,0.04934240304162841,0.3186403196813532,0.08642093744892979,0.3689000898222571,0.08459111376973527,0.37032611368355517
6,6-7,0.047706493204184824,0.36634681288553805,0.08706859284382032,0.4559686826660774,0.0853898593380336,0.4557159730215888
7,7-8,0.054696289782352865,0.4210431026678909,0.08435460679223511,0.5403232894583125,0.08301361372543806,0.5387295867470269
8,8-9,0.0643048353097883,0.4853479379776792,0.07896187024989003,0.6192851597082025,0.07804192091997872,0.6167715076670056
9,9-10,0.07430134364452261,0.5596492816222018,0.07164814488701958,0.6909333045952221,0.07115066786382199,0.6879221755308276
10,10-11,0.08361245101969558,0.6432617326418975,0.06316741091509029,0.7541007155103123,0.06303751592867603,0.7509596914595036
11,11-12,0.08661916277626185,0.7298808954181593,0.05420568527127247,0.8083064007815848,0.05435745928543979,0.8053171507449434
12,12-13,0.07933192804583133,0.8092128234639906,0.045336383838688994,0.8536427846202738,0.04567454169017288,0.8509916924351163
13,13-14,0.06619292097197615,0.8754057444359667,0.03699655197969559,0.8906393365999694,0.03743245095888512,0.8884241433940014
14,14-15,0.0521357352541803,0.927541479690147,0.029482168908042002,0.9201215055080114,0.029943608493506243,0.9183677518875076
15,15-16,0.03529168337062087,0.9628331630607678,0.022958597313571208,0.9430801028215826,0.023393962071495026,0.9417617139590027
16,16-17,0.021771179536255125,0.984604342597023,0.017481211078150215,0.9605613138997329,0.017859230011177413,0.95962094397018
17,17-18,0.009815459024661502,0.9944198016216845,0.013021185644020076,0.973582499543753,0.01332786056132585,0.9729488045315059
18,18-19,0.003717976903280872,0.9981377785249654,0.009492126772433244,0.9830746263161863,0.00972630583641726,0.9826751103679232
19,19-20,0.0012673451705096537,0.9994051236954751,0.0067743320128303645,0.9898489583290166,0.006943100473953388,0.9896182108418766
20,20-21,0.00043322513481707555,0.9998383488302921,0.004734726940553753,0.9945836852695704,0.00484938777862112,0.9944675986204977
21,21-22,7.759256145977472e-05,0.9999159413917519,0.0032416621276476557,0.9978253473972181,0.0033146918977283433,0.9977822905182261
22,22-23,8.405860824808928e-05,1.0,0.002174652602781886,1.0,0.0022177094817739363,1.0
